Date,Open,High,Low,Close,Adj Close,Volume
2016-04-04,1397.239990,1480.000000,1397.239990,1453.000000,1443.416016,601
2016-04-05,1453.000000,1453.000000,1453.000000,1453.000000,1443.416016,0
2016-04-06,1476.300049,1476.300049,1476.300049,1476.300049,1466.562378,83
2016-04-07,1451.500000,1451.500000,1451.500000,1451.500000,1441.925903,35
2016-04-08,1460.000000,1465.000000,1460.000000,1465.000000,1455.336548,31
2016-04-11,1465.000000,1465.000000,1465.000000,1465.000000,1455.336548,0
2016-04-12,1467.650024,1467.650024,1467.650024,1467.650024,1457.969238,38
2016-04-13,1479.849976,1479.849976,1479.849976,1479.849976,1470.088745,20181
2016-04-14,1500.000000,1500.000000,1500.000000,1500.000000,1490.105713,58
2016-04-15,1505.000000,1505.000000,1505.000000,1500.000000,1490.105713,1
2016-04-18,1461.119995,1461.119995,1450.000000,1450.000000,1440.435547,182
2016-04-19,1480.000000,1480.000000,1480.000000,1480.000000,1470.237671,38
2016-04-20,1516.800049,1516.800049,1494.000000,1494.000000,1484.145508,184
2016-04-21,1524.000000,1524.000000,1519.000000,1519.000000,1508.980469,1112
2016-04-22,1517.599976,1520.000000,1517.599976,1520.000000,1509.973755,258
2016-04-25,1524.000000,1529.500000,1524.000000,1526.000000,1515.934326,703
2016-04-26,1520.000000,1520.000000,1520.000000,1520.000000,1509.973755,271
2016-04-27,1537.000000,1537.000000,1535.000000,1535.000000,1524.874878,817
2016-04-28,1525.000000,1525.000000,1515.000000,1515.000000,1505.006592,553
2016-04-29,1515.000000,1515.000000,1515.000000,1515.000000,1505.006592,0
2016-05-02,1515.000000,1515.000000,1515.000000,1515.000000,1505.006592,0
2016-05-03,1513.000000,1513.000000,1513.000000,1513.000000,1503.019897,6
2016-05-04,1557.000000,1557.000000,1555.650024,1555.650024,1545.388550,460
2016-05-05,1555.650024,1555.650024,1555.650024,1555.650024,1545.388550,0
2016-05-06,1591.000000,1595.000000,1590.900024,1590.900024,1580.406128,193
2016-05-09,1602.000000,1602.000000,1602.000000,1602.000000,1591.432861,330
2016-05-10,1602.000000,1620.000000,1512.000000,1602.000000,1591.432861,9
2016-05-11,1606.000000,1606.000000,1594.000000,1594.000000,1584.227417,274
2016-05-12,1609.000000,1623.390015,1609.000000,1623.390015,1613.437500,168
2016-05-13,1620.500000,1620.500000,1620.500000,1620.500000,1610.564941,55
2016-05-16,1615.000000,1630.000000,1615.000000,1627.000000,1617.025146,267
2016-05-17,1544.949951,1544.949951,1544.949951,1627.000000,1617.025146,3
2016-05-18,1638.449951,1638.449951,1638.449951,1638.449951,1628.405029,188
2016-05-19,1662.000000,1662.000000,1656.410034,1656.410034,1646.254883,622
2016-05-20,1656.410034,1656.410034,1656.410034,1656.410034,1646.254883,0
2016-05-23,1650.000000,1650.000000,1650.000000,1650.000000,1639.884155,408
2016-05-24,1659.000000,1659.000000,1657.119995,1657.119995,1646.960449,452
2016-05-25,1663.000000,1663.000000,1663.000000,1663.000000,1652.804321,136
2016-05-26,1655.800049,1656.020020,1655.800049,1656.020020,1645.867188,596
2016-05-27,1656.020020,1656.020020,1656.020020,1656.020020,1645.867188,0
2016-05-30,1656.020020,1656.020020,1656.020020,1656.020020,1645.867188,0
2016-05-31,1651.000000,1651.000000,1640.680054,1640.680054,1630.621338,2083
2016-06-01,1640.000000,1651.000000,1640.000000,1651.000000,1640.877930,588
